Period,Value,Measure Type,Unit
day/2017-04-15,715503.87,actual-eligible-demand,mwh
day/2017-04-16,703248.093,actual-eligible-demand,mwh
day/2017-04-17,729012.685,actual-eligible-demand,mwh
day/2017-04-18,812449.012,actual-eligible-demand,mwh
day/2017-04-19,827678.094,actual-eligible-demand,mwh
day/2017-04-20,830235.474,actual-eligible-demand,mwh
day/2017-04-21,818570.024,actual-eligible-demand,mwh
day/2017-04-22,725565.275,actual-eligible-demand,mwh
day/2017-04-23,707844.193,actual-eligible-demand,mwh
day/2017-04-24,828623.797,actual-eligible-demand,mwh
day/2017-04-25,859386.839,actual-eligible-demand,mwh
day/2017-04-26,868724.73,actual-eligible-demand,mwh
day/2017-04-27,872023.542,actual-eligible-demand,mwh
day/2017-04-28,834249.501,actual-eligible-demand,mwh
day/2017-04-29,741243.105,actual-eligible-demand,mwh
day/2017-04-30,712671.976,actual-eligible-demand,mwh
day/2017-05-01,733167.632,actual-eligible-demand,mwh
day/2017-05-02,810493.694,actual-eligible-demand,mwh
day/2017-05-03,830104.293,actual-eligible-demand,mwh
day/2017-05-04,820968.527,actual-eligible-demand,mwh
day/2017-05-05,798703.591,actual-eligible-demand,mwh
day/2017-05-06,734040.693,actual-eligible-demand,mwh
day/2017-05-07,702064.994,actual-eligible-demand,mwh
day/2017-05-08,813858.131,actual-eligible-demand,mwh
day/2017-05-09,817947.018,actual-eligible-demand,mwh
day/2017-05-10,797381.344,actual-eligible-demand,mwh
day/2017-05-11,795465.791,actual-eligible-demand,mwh
day/2017-05-12,794180.892,actual-eligible-demand,mwh
day/2017-05-13,711911.932,actual-eligible-demand,mwh
day/2017-05-14,681187.621,actual-eligible-demand,mwh
day/2017-05-15,812747.941,actual-eligible-demand,mwh
day/2017-05-16,807739.388,actual-eligible-demand,mwh
day/2017-05-17,815153.752,actual-eligible-demand,mwh
day/2017-05-18,792119.438,actual-eligible-demand,mwh
day/2017-05-19,786979.792,actual-eligible-demand,mwh
day/2017-05-20,707670.888,actual-eligible-demand,mwh
day/2017-05-21,678724.794,actual-eligible-demand,mwh
day/2017-05-22,769533.909,actual-eligible-demand,mwh
day/2017-05-23,777560.433,actual-eligible-demand,mwh
day/2017-05-24,776570.79,actual-eligible-demand,mwh
day/2017-05-25,775173.466,actual-eligible-demand,mwh
day/2017-05-26,756062.354,actual-eligible-demand,mwh
day/2017-05-27,681373.512,actual-eligible-demand,mwh
day/2017-05-28,645185.629,actual-eligible-demand,mwh
day/2017-05-29,688898.236,actual-eligible-demand,mwh
day/2017-05-30,752765.281,actual-eligible-demand,mwh
day/2017-05-31,750750.92,actual-eligible-demand,mwh
day/2017-06-01,753039.032,actual-eligible-demand,mwh
day/2017-06-02,753293.061,actual-eligible-demand,mwh
day/2017-06-03,665515.376,actual-eligible-demand,mwh
day/2017-06-04,652212.59,actual-eligible-demand,mwh
day/2017-06-05,776128.642,actual-eligible-demand,mwh
day/2017-06-06,800615.284,actual-eligible-demand,mwh
day/2017-06-07,778604.138,actual-eligible-demand,mwh
day/2017-06-08,788739.371,actual-eligible-demand,mwh
day/2017-06-09,760189.312,actual-eligible-demand,mwh
day/2017-06-10,690785.499,actual-eligible-demand,mwh
day/2017-06-11,667761.799,actual-eligible-demand,mwh
day/2017-06-12,762857.491,actual-eligible-demand,mwh
day/2017-06-13,768873.679,actual-eligible-demand,mwh
day/2017-06-14,769190.743,actual-eligible-demand,mwh
day/2017-06-15,766850.67,actual-eligible-demand,mwh
day/2017-06-16,746671.897,actual-eligible-demand,mwh
day/2017-06-17,670555.574,actual-eligible-demand,mwh
day/2017-06-18,654064.324,actual-eligible-demand,mwh
day/2017-06-19,778586.156,actual-eligible-demand,mwh
day/2017-06-20,785621.035,actual-eligible-demand,mwh
day/2017-06-21,788217.058,actual-eligible-demand,mwh
day/2017-06-22,780721.229,actual-eligible-demand,mwh
day/2017-06-23,749865.058,actual-eligible-demand,mwh
day/2017-06-24,667014.726,actual-eligible-demand,mwh
day/2017-06-25,644820.943,actual-eligible-demand,mwh
day/2017-06-26,737061.466,actual-eligible-demand,mwh
day/2017-06-27,767206.909,actual-eligible-demand,mwh
day/2017-06-28,771669.755,actual-eligible-demand,mwh
day/2017-06-29,778952.184,actual-eligible-demand,mwh
day/2017-06-30,758535.5,actual-eligible-demand,mwh
day/2017-07-01,674107.037,actual-eligible-demand,mwh
day/2017-07-02,649344.263,actual-eligible-demand,mwh
day/2017-07-03,751586.936,actual-eligible-demand,mwh
day/2017-07-04,772226.172,actual-eligible-demand,mwh
day/2017-07-05,771012.163,actual-eligible-demand,mwh
day/2017-07-06,783937.624,actual-eligible-demand,mwh
day/2017-07-07,770170.736,actual-eligible-demand,mwh
day/2017-07-08,671195.702,actual-eligible-demand,mwh
day/2017-07-09,661580.545,actual-eligible-demand,mwh
day/2017-07-10,764767.248,actual-eligible-demand,mwh
day/2017-07-11,777341.553,actual-eligible-demand,mwh
day/2017-07-12,757837.935,actual-eligible-demand,mwh
day/2017-07-13,757324.694,actual-eligible-demand,mwh
day/2017-07-14,743648.152,actual-eligible-demand,mwh
day/2017-07-15,680804.566,actual-eligible-demand,mwh
day/2017-07-16,663210.906,actual-eligible-demand,mwh
day/2017-07-17,745376.445,actual-eligible-demand,mwh
day/2017-07-18,766196.144,actual-eligible-demand,mwh
day/2017-07-19,785774.329,actual-eligible-demand,mwh
day/2017-07-20,763009.286,actual-eligible-demand,mwh
day/2017-07-21,754732.683,actual-eligible-demand,mwh
day/2017-07-22,675064.466,actual-eligible-demand,mwh
day/2017-07-23,655771.843,actual-eligible-demand,mwh
day/2017-07-24,747791.95,actual-eligible-demand,mwh
day/2017-07-25,747950.158,actual-eligible-demand,mwh
day/2017-07-26,766236.862,actual-eligible-demand,mwh
day/2017-07-27,751708.69,actual-eligible-demand,mwh
day/2017-07-28,748096.142,actual-eligible-demand,mwh
day/2017-07-29,671484.959,actual-eligible-demand,mwh
day/2017-07-30,647752.972,actual-eligible-demand,mwh
day/2017-07-31,728911.658,actual-eligible-demand,mwh
day/2017-08-01,735808.924,actual-eligible-demand,mwh
day/2017-08-02,755176.74,actual-eligible-demand,mwh
day/2017-08-03,749326.37,actual-eligible-demand,mwh
day/2017-08-04,729330.588,actual-eligible-demand,mwh
day/2017-08-05,654563.066,actual-eligible-demand,mwh
day/2017-08-06,642637.322,actual-eligible-demand,mwh
day/2017-08-07,736753.144,actual-eligible-demand,mwh
day/2017-08-08,754318.302,actual-eligible-demand,mwh
